Line: 171, position 15: строк выравниваются по заданной позиции за счет
Line: 4009, position 53: Требуется определить
Line: 4011, position 35: вершин
Line: 4014, position 24: вершин
Line: 4026, position 9: вершин
Line: 4033, position 22: вершин
Line: 4034, position 25: вершин
Line: 4043, position 36: вершин
Line: 4052, position 55: вершин
Line: 4062, position 22: вершин
Line: 4066, position 16: правильность идентификаторов
Line: 4096, position 9: вершин
Line: 4146, position 9: вершин
Line: 4154, position 4: вершин
Line: 4156, position 35: вершин
Line: 4157, position 51: вершин
Line: 4160, position 14: вершин
Line: 4162, position 28: вершин
Line: 4171, position 34: вершин
Line: 4172, position 39: вершин
Line: 4227, position 11: вершин
Line: 4234, position 35: вершин
Line: 4234, position 55: вершин
Line: 4238, position 40: вершин
Line: 4331, position 63: вершин
Line: 4373, position 24: вершин
Line: 4383, position 24: вершин
Line: 4405, position 42: Требуется определить
Line: 4455, position 25: вершин
Line: 4462, position 19: вершин
Line: 4650, position 53: Требуется определить
Line: 4968, position 21: вершин
Line: 4982, position 41: вершин
Line: 4999, position 36: вершин
Line: 5014, position 47: вершин
Line: 5022, position 48: вершин
Line: 5103, position 30: вершин
Line: 5106, position 34: вершин
Line: 5126, position 41: вершин
Line: 5164, position 45: вершин
Line: 5165, position 39: вершин
Line: 5167, position 33: вершин
Line: 5183, position 30: вершин
Line: 5183, position 52: вершин
Line: 5184, position 42: вершин
Line: 5200, position 49: вершин
Line: 5490, position 15: строк выравниваются по заданной позиции за счет
Line: 5622, position 12: имеются очереди из кафедр
Line: 5682, position 62: вершин
Line: 5768, position 7: вершин
Line: 5772, position 34: вершин
Line: 5776, position 53: Требуется определить
Line: 5777, position 63: вершин
Line: 5782, position 53: Требуется определить
Line: 5784, position 35: вершин
Line: 5787, position 24: вершин
Line: 5799, position 9: вершин
Line: 5806, position 22: вершин
Line: 5807, position 25: вершин
Line: 5816, position 36: вершин
Line: 5825, position 55: вершин
Line: 5835, position 22: вершин
Line: 5839, position 16: правильность идентификаторов
Line: 5869, position 9: вершин
Line: 5919, position 9: вершин
Line: 5927, position 4: вершин
Line: 5929, position 35: вершин
Line: 5930, position 51: вершин
Line: 5933, position 14: вершин
Line: 5935, position 28: вершин
Line: 5944, position 34: вершин
Line: 5945, position 39: вершин
Line: 6000, position 11: вершин
Line: 6007, position 35: вершин
Line: 6007, position 55: вершин
Line: 6011, position 40: вершин
Line: 6104, position 63: вершин
Line: 6146, position 24: вершин
Line: 6156, position 24: вершин
Line: 6178, position 42: Требуется определить
Line: 6228, position 25: вершин
Line: 6235, position 19: вершин
Line: 6423, position 53: Требуется определить
Line: 6741, position 21: вершин
Line: 6755, position 41: вершин
Line: 6772, position 36: вершин
Line: 6787, position 47: вершин
Line: 6795, position 48: вершин
Line: 6876, position 30: вершин
Line: 6879, position 34: вершин
Line: 6899, position 41: вершин
Line: 6937, position 45: вершин
Line: 6938, position 39: вершин
Line: 6940, position 33: вершин
Line: 6956, position 30: вершин
Line: 6956, position 52: вершин
Line: 6957, position 42: вершин
Line: 6973, position 49: вершин
Line: 7263, position 15: строк выравниваются по заданной позиции за счет
Line: 7395, position 12: имеются очереди из кафедр
Line: 7455, position 62: вершин
Line: 7541, position 7: вершин
Line: 7545, position 34: вершин
Line: 7549, position 53: Требуется определить
Line: 7550, position 63: вершин
Line: 7555, position 53: Требуется определить
Line: 7557, position 35: вершин
Line: 7560, position 24: вершин
Line: 7572, position 9: вершин
Line: 7579, position 22: вершин
Line: 7580, position 25: вершин
Line: 7589, position 36: вершин
Line: 7598, position 55: вершин
Line: 7608, position 22: вершин
Line: 7612, position 16: правильность идентификаторов
Line: 7642, position 9: вершин
Line: 7692, position 9: вершин
Line: 7700, position 4: вершин
Line: 7702, position 35: вершин
Line: 7703, position 51: вершин
Line: 7706, position 14: вершин
Line: 7708, position 28: вершин
Line: 7717, position 34: вершин
Line: 7718, position 39: вершин
Line: 7773, position 11: вершин
Line: 7780, position 35: вершин
Line: 7780, position 55: вершин
Line: 7784, position 40: вершин
Line: 7877, position 63: вершин
Line: 7919, position 24: вершин
Line: 7929, position 24: вершин
Line: 7951, position 42: Требуется определить
Line: 8001, position 25: вершин
Line: 8008, position 19: вершин
Line: 8196, position 53: Требуется определить
Line: 8514, position 21: вершин
Line: 8528, position 41: вершин
Line: 8545, position 36: вершин
Line: 8560, position 47: вершин
Line: 8568, position 48: вершин
Line: 8649, position 30: вершин
Line: 8652, position 34: вершин
Line: 8672, position 41: вершин
Line: 8710, position 45: вершин
Line: 8711, position 39: вершин
Line: 8713, position 33: вершин
Line: 8729, position 30: вершин
Line: 8729, position 52: вершин
Line: 8730, position 42: вершин
Line: 8746, position 49: вершин
Line: 9036, position 15: строк выравниваются по заданной позиции за счет
Line: 9168, position 12: имеются очереди из кафедр
Line: 9228, position 62: вершин
Line: 9314, position 7: вершин
Line: 9318, position 34: вершин
Line: 9322, position 53: Требуется определить
Line: 9323, position 63: вершин
Line: 9328, position 53: Требуется определить
Line: 9330, position 35: вершин
Line: 9333, position 24: вершин
Line: 9345, position 9: вершин
Line: 9352, position 22: вершин
Line: 9353, position 25: вершин
Line: 9362, position 36: вершин
Line: 9371, position 55: вершин
Line: 9381, position 22: вершин
Line: 9385, position 16: правильность идентификаторов
Line: 9415, position 9: вершин
Line: 9465, position 9: вершин
Line: 9473, position 4: вершин
Line: 9475, position 35: вершин
Line: 9476, position 51: вершин
Line: 9479, position 14: вершин
Line: 9481, position 28: вершин
Line: 9490, position 34: вершин
Line: 9491, position 39: вершин
Line: 9546, position 11: вершин
Line: 9553, position 35: вершин
Line: 9553, position 55: вершин
Line: 9557, position 40: вершин
Line: 9650, position 63: вершин
Line: 9692, position 24: вершин
Line: 9702, position 24: вершин
Line: 9724, position 42: Требуется определить
Line: 9774, position 25: вершин
Line: 9781, position 19: вершин
Line: 9969, position 53: Требуется определить
Line: 10287, position 21: вершин
Line: 10301, position 41: вершин
Line: 10318, position 36: вершин
Line: 10333, position 47: вершин
Line: 10341, position 48: вершин
Line: 10422, position 30: вершин
Line: 10425, position 34: вершин
Line: 10445, position 41: вершин
Line: 10483, position 45: вершин
Line: 10484, position 39: вершин
Line: 10486, position 33: вершин
Line: 10502, position 30: вершин
Line: 10502, position 52: вершин
Line: 10503, position 42: вершин
Line: 10519, position 49: вершин
Line: 10809, position 15: строк выравниваются по заданной позиции за счет
Line: 10941, position 12: имеются очереди из кафедр
Line: 11001, position 62: вершин
Line: 11087, position 7: вершин
Line: 11091, position 34: вершин
Line: 11095, position 53: Требуется определить
Line: 11096, position 63: вершин
Line: 11101, position 53: Требуется определить
Line: 11103, position 35: вершин
Line: 11106, position 24: вершин
Line: 11118, position 9: вершин
Line: 11125, position 22: вершин
Line: 11126, position 25: вершин
Line: 11135, position 36: вершин
Line: 11144, position 55: вершин
Line: 11154, position 22: вершин
Line: 11158, position 16: правильность идентификаторов
Line: 11188, position 9: вершин
Line: 11238, position 9: вершин
Line: 11246, position 4: вершин
Line: 11248, position 35: вершин
Line: 11249, position 51: вершин
Line: 11252, position 14: вершин
Line: 11254, position 28: вершин
Line: 11263, position 34: вершин
Line: 11264, position 39: вершин
Line: 11319, position 11: вершин
Line: 11326, position 35: вершин
Line: 11326, position 55: вершин
Line: 11330, position 40: вершин
Line: 11423, position 63: вершин
Line: 11465, position 24: вершин
Line: 11475, position 24: вершин
Line: 11497, position 42: Требуется определить
Line: 11547, position 25: вершин
Line: 11554, position 19: вершин
Line: 11742, position 53: Требуется определить
Line: 12060, position 21: вершин
Line: 12074, position 41: вершин
Line: 12091, position 36: вершин
Line: 12106, position 47: вершин
Line: 12114, position 48: вершин
Line: 12195, position 30: вершин
Line: 12198, position 34: вершин
Line: 12218, position 41: вершин
Line: 12256, position 45: вершин
Line: 12257, position 39: вершин
Line: 12259, position 33: вершин
Line: 12275, position 30: вершин
Line: 12275, position 52: вершин
Line: 12276, position 42: вершин
Line: 12292, position 49: вершин
Line: 12582, position 15: строк выравниваются по заданной позиции за счет
Line: 12714, position 12: имеются очереди из кафедр
Line: 12774, position 62: вершин
Line: 12860, position 7: вершин
Line: 12864, position 34: вершин
Line: 12868, position 53: Требуется определить
Line: 12869, position 63: вершин
Line: 12874, position 53: Требуется определить
Line: 12876, position 35: вершин
Line: 12879, position 24: вершин
Line: 12891, position 9: вершин
Line: 12898, position 22: вершин
Line: 12899, position 25: вершин
Line: 12908, position 36: вершин
Line: 12917, position 55: вершин
Line: 12927, position 22: вершин
Line: 12931, position 16: правильность идентификаторов
Line: 12961, position 9: вершин
Line: 13011, position 9: вершин
Line: 13019, position 4: вершин
Line: 13021, position 35: вершин
Line: 13022, position 51: вершин
Line: 13025, position 14: вершин
Line: 13027, position 28: вершин
Line: 13036, position 34: вершин
Line: 13037, position 39: вершин
Line: 13092, position 11: вершин
Line: 13099, position 35: вершин
Line: 13099, position 55: вершин
Line: 13103, position 40: вершин
Line: 13196, position 63: вершин
Line: 13238, position 24: вершин
Line: 13248, position 24: вершин
Line: 13270, position 42: Требуется определить
Line: 13320, position 25: вершин
Line: 13327, position 19: вершин
Line: 13515, position 53: Требуется определить
Line: 13833, position 21: вершин
Line: 13847, position 41: вершин
Line: 13864, position 36: вершин
Line: 13879, position 47: вершин
Line: 13887, position 48: вершин
Line: 13968, position 30: вершин
Line: 13971, position 34: вершин
Line: 13991, position 41: вершин
Line: 14029, position 45: вершин
Line: 14030, position 39: вершин
Line: 14032, position 33: вершин
Line: 14048, position 30: вершин
Line: 14048, position 52: вершин
Line: 14049, position 42: вершин
Line: 14065, position 49: вершин
Line: 14355, position 15: строк выравниваются по заданной позиции за счет
Line: 14487, position 12: имеются очереди из кафедр
Line: 14547, position 62: вершин
Line: 14633, position 7: вершин
Line: 14637, position 34: вершин
Line: 14641, position 53: Требуется определить
Line: 14642, position 63: вершин
Line: 14647, position 53: Требуется определить
Line: 14649, position 35: вершин
Line: 14652, position 24: вершин
Line: 14664, position 9: вершин
Line: 14671, position 22: вершин
Line: 14672, position 25: вершин
Line: 14681, position 36: вершин
Line: 14690, position 55: вершин
Line: 14700, position 22: вершин
Line: 14704, position 16: правильность идентификаторов
Line: 14734, position 9: вершин
Line: 14784, position 9: вершин
Line: 14792, position 4: вершин
Line: 14794, position 35: вершин
Line: 14795, position 51: вершин
Line: 14798, position 14: вершин
Line: 14800, position 28: вершин
Line: 14809, position 34: вершин
Line: 14810, position 39: вершин
Line: 14865, position 11: вершин
Line: 14872, position 35: вершин
Line: 14872, position 55: вершин
Line: 14876, position 40: вершин
Line: 14969, position 63: вершин
Line: 15011, position 24: вершин
Line: 15021, position 24: вершин
Line: 15043, position 42: Требуется определить
Line: 15093, position 25: вершин
Line: 15100, position 19: вершин
Line: 15288, position 53: Требуется определить
Line: 15606, position 21: вершин
Line: 15620, position 41: вершин
Line: 15637, position 36: вершин
Line: 15652, position 47: вершин
Line: 15660, position 48: вершин
Line: 15741, position 30: вершин
Line: 15744, position 34: вершин
Line: 15764, position 41: вершин
Line: 15802, position 45: вершин
Line: 15803, position 39: вершин
Line: 15805, position 33: вершин
Line: 15821, position 30: вершин
Line: 15821, position 52: вершин
Line: 15822, position 42: вершин
Line: 15838, position 49: вершин
Line: 16128, position 15: строк выравниваются по заданной позиции за счет
Line: 16260, position 12: имеются очереди из кафедр
Line: 16320, position 62: вершин
Line: 16406, position 7: вершин
Line: 16410, position 34: вершин
Line: 16414, position 53: Требуется определить
Line: 16415, position 63: вершин
Line: 16420, position 53: Требуется определить
Line: 16422, position 35: вершин
Line: 16425, position 24: вершин
Line: 16437, position 9: вершин
Line: 16444, position 22: вершин
Line: 16445, position 25: вершин
Line: 16454, position 36: вершин
Line: 16463, position 55: вершин
Line: 16473, position 22: вершин
Line: 16477, position 16: правильность идентификаторов
Line: 16507, position 9: вершин
Line: 16557, position 9: вершин
Line: 16565, position 4: вершин
Line: 16567, position 35: вершин
Line: 16568, position 51: вершин
Line: 16571, position 14: вершин
Line: 16573, position 28: вершин
Line: 16582, position 34: вершин
Line: 16583, position 39: вершин
Line: 16638, position 11: вершин
Line: 16645, position 35: вершин
Line: 16645, position 55: вершин
Line: 16649, position 40: вершин
Line: 16742, position 63: вершин
Line: 16784, position 24: вершин
Line: 16794, position 24: вершин
Line: 16816, position 42: Требуется определить
Line: 16866, position 25: вершин
Line: 16873, position 19: вершин
Line: 17061, position 53: Требуется определить
Line: 17379, position 21: вершин
Line: 17393, position 41: вершин
Line: 17410, position 36: вершин
Line: 17425, position 47: вершин
Line: 17433, position 48: вершин
Line: 17514, position 30: вершин
Line: 17517, position 34: вершин
Line: 17537, position 41: вершин
Line: 17575, position 45: вершин
Line: 17576, position 39: вершин
Line: 17578, position 33: вершин
Line: 17594, position 30: вершин
Line: 17594, position 52: вершин
Line: 17595, position 42: вершин
Line: 17611, position 49: вершин
Line: 17901, position 15: строк выравниваются по заданной позиции за счет
Line: 18033, position 12: имеются очереди из кафедр
Line: 18093, position 62: вершин
Line: 18179, position 7: вершин
Line: 18183, position 34: вершин
Line: 18187, position 53: Требуется определить
Line: 18188, position 63: вершин
Line: 18193, position 53: Требуется определить
Line: 18195, position 35: вершин
Line: 18198, position 24: вершин
Line: 18210, position 9: вершин
Line: 18217, position 22: вершин
Line: 18218, position 25: вершин
Line: 18227, position 36: вершин
Line: 18236, position 55: вершин
Line: 18246, position 22: вершин
Line: 18250, position 16: правильность идентификаторов
Line: 18280, position 9: вершин
Line: 18330, position 9: вершин
Line: 18338, position 4: вершин
Line: 18340, position 35: вершин
Line: 18341, position 51: вершин
Line: 18344, position 14: вершин
Line: 18346, position 28: вершин
Line: 18355, position 34: вершин
Line: 18356, position 39: вершин
Line: 18411, position 11: вершин
Line: 18418, position 35: вершин
Line: 18418, position 55: вершин
Line: 18422, position 40: вершин
Line: 18515, position 63: вершин
Line: 18557, position 24: вершин
Line: 18567, position 24: вершин
Line: 18589, position 42: Требуется определить
Line: 18639, position 25: вершин
Line: 18646, position 19: вершин
Line: 18834, position 53: Требуется определить
Line: 19152, position 21: вершин
Line: 19166, position 41: вершин
Line: 19183, position 36: вершин
Line: 19198, position 47: вершин
Line: 19206, position 48: вершин
Line: 19287, position 30: вершин
Line: 19290, position 34: вершин
Line: 19310, position 41: вершин
Line: 19348, position 45: вершин
Line: 19349, position 39: вершин
Line: 19351, position 33: вершин
Line: 19367, position 30: вершин
Line: 19367, position 52: вершин
Line: 19368, position 42: вершин
Line: 19384, position 49: вершин
Line: 19674, position 15: строк выравниваются по заданной позиции за счет
Line: 19806, position 12: имеются очереди из кафедр
Line: 19866, position 62: вершин
Line: 19952, position 7: вершин
Line: 19956, position 34: вершин
Line: 19960, position 53: Требуется определить
Line: 19961, position 63: вершин
Line: 19966, position 53: Требуется определить
Line: 19968, position 35: вершин
Line: 19971, position 24: вершин
Line: 19983, position 9: вершин
Line: 19990, position 22: вершин
Line: 19991, position 25: вершин
Line: 20000, position 36: вершин
Line: 20009, position 55: вершин
Line: 20019, position 22: вершин
Line: 20023, position 16: правильность идентификаторов
Line: 20053, position 9: вершин
Line: 20103, position 9: вершин
Line: 20111, position 4: вершин
Line: 20113, position 35: вершин
Line: 20114, position 51: вершин
Line: 20117, position 14: вершин
Line: 20119, position 28: вершин
Line: 20128, position 34: вершин
Line: 20129, position 39: вершин
Line: 20184, position 11: вершин
Line: 20191, position 35: вершин
Line: 20191, position 55: вершин
Line: 20195, position 40: вершин
Line: 20288, position 63: вершин
Line: 20330, position 24: вершин
Line: 20340, position 24: вершин
Line: 20362, position 42: Требуется определить
Line: 20412, position 25: вершин
Line: 20419, position 19: вершин
Line: 20607, position 53: Требуется определить
Line: 20925, position 21: вершин
Line: 20939, position 41: вершин
Line: 20956, position 36: вершин
Line: 20971, position 47: вершин
Line: 20979, position 48: вершин
Line: 21060, position 30: вершин
Line: 21063, position 34: вершин
Line: 21083, position 41: вершин
Line: 21121, position 45: вершин
Line: 21122, position 39: вершин
Line: 21124, position 33: вершин
Line: 21140, position 30: вершин
Line: 21140, position 52: вершин
Line: 21141, position 42: вершин
Line: 21157, position 49: вершин
Line: 21447, position 15: строк выравниваются по заданной позиции за счет
Line: 21579, position 12: имеются очереди из кафедр
Line: 21639, position 62: вершин
Line: 21725, position 7: вершин
Line: 21729, position 34: вершин
Line: 21733, position 53: Требуется определить
Line: 21734, position 63: вершин
Line: 21739, position 53: Требуется определить
Line: 21741, position 35: вершин
Line: 21744, position 24: вершин
Line: 21756, position 9: вершин
Line: 21763, position 22: вершин
Line: 21764, position 25: вершин
Line: 21773, position 36: вершин
Line: 21782, position 55: вершин
Line: 21792, position 22: вершин
Line: 21796, position 16: правильность идентификаторов
Line: 21826, position 9: вершин
Line: 21876, position 9: вершин
Line: 21884, position 4: вершин
Line: 21886, position 35: вершин
Line: 21887, position 51: вершин
Line: 21890, position 14: вершин
Line: 21892, position 28: вершин
Line: 21901, position 34: вершин
Line: 21902, position 39: вершин
Line: 21957, position 11: вершин
Line: 21964, position 35: вершин
Line: 21964, position 55: вершин
Line: 21968, position 40: вершин
Line: 22061, position 63: вершин
Line: 22103, position 24: вершин
Line: 22113, position 24: вершин
Line: 22135, position 42: Требуется определить
Line: 22185, position 25: вершин
Line: 22192, position 19: вершин
Line: 22380, position 53: Требуется определить
Line: 22698, position 21: вершин
Line: 22712, position 41: вершин
Line: 22729, position 36: вершин
Line: 22744, position 47: вершин
Line: 22752, position 48: вершин
Line: 22833, position 30: вершин
Line: 22836, position 34: вершин
Line: 22856, position 41: вершин
Line: 22894, position 45: вершин
Line: 22895, position 39: вершин
Line: 22897, position 33: вершин
Line: 22913, position 30: вершин
Line: 22913, position 52: вершин
Line: 22914, position 42: вершин
Line: 22930, position 49: вершин
Line: 23220, position 15: строк выравниваются по заданной позиции за счет
Line: 23352, position 12: имеются очереди из кафедр
Line: 23412, position 62: вершин
Line: 23498, position 7: вершин
Line: 23502, position 34: вершин
Line: 23506, position 53: Требуется определить
Line: 23507, position 63: вершин
Line: 23512, position 53: Требуется определить
Line: 23514, position 35: вершин
Line: 23517, position 24: вершин
Line: 23529, position 9: вершин
Line: 23536, position 22: вершин
Line: 23537, position 25: вершин
Line: 23546, position 36: вершин
Line: 23555, position 55: вершин
Line: 23565, position 22: вершин
Line: 23569, position 16: правильность идентификаторов
Line: 23599, position 9: вершин
Line: 23649, position 9: вершин
Line: 23657, position 4: вершин
Line: 23659, position 35: вершин
Line: 23660, position 51: вершин
Line: 23663, position 14: вершин
Line: 23665, position 28: вершин
Line: 23674, position 34: вершин
Line: 23675, position 39: вершин
Line: 23730, position 11: вершин
Line: 23737, position 35: вершин
Line: 23737, position 55: вершин
Line: 23741, position 40: вершин
Line: 23834, position 63: вершин
Line: 23876, position 24: вершин
Line: 23886, position 24: вершин
Line: 23908, position 42: Требуется определить
Line: 23958, position 25: вершин
Line: 23965, position 19: вершин
Line: 24153, position 53: Требуется определить
Line: 24471, position 21: вершин
Line: 24485, position 41: вершин
Line: 24502, position 36: вершин
Line: 24517, position 47: вершин
Line: 24525, position 48: вершин
Line: 24606, position 30: вершин
Line: 24609, position 34: вершин
Line: 24629, position 41: вершин
Line: 24667, position 45: вершин
Line: 24668, position 39: вершин
Line: 24670, position 33: вершин
Line: 24686, position 30: вершин
Line: 24686, position 52: вершин
Line: 24687, position 42: вершин
Line: 24703, position 49: вершин
Line: 24993, position 15: строк выравниваются по заданной позиции за счет
Line: 25125, position 12: имеются очереди из кафедр
Line: 25185, position 62: вершин
Line: 25271, position 7: вершин
Line: 25275, position 34: вершин
Line: 25279, position 53: Требуется определить
Line: 25280, position 63: вершин
Line: 25285, position 53: Требуется определить
Line: 25287, position 35: вершин
Line: 25290, position 24: вершин
Line: 25302, position 9: вершин
Line: 25309, position 22: вершин
Line: 25310, position 25: вершин
Line: 25319, position 36: вершин
Line: 25328, position 55: вершин
Line: 25338, position 22: вершин
Line: 25342, position 16: правильность идентификаторов
Line: 25372, position 9: вершин
Line: 25422, position 9: вершин
Line: 25430, position 4: вершин
Line: 25432, position 35: вершин
Line: 25433, position 51: вершин
Line: 25436, position 14: вершин
Line: 25438, position 28: вершин
Line: 25447, position 34: вершин
Line: 25448, position 39: вершин
Line: 25503, position 11: вершин
Line: 25510, position 35: вершин
Line: 25510, position 55: вершин
Line: 25514, position 40: вершин
Line: 25607, position 63: вершин
Line: 25649, position 24: вершин
Line: 25659, position 24: вершин
Line: 25681, position 42: Требуется определить
Line: 25731, position 25: вершин
Line: 25738, position 19: вершин
Line: 25926, position 53: Требуется определить
Line: 26244, position 21: вершин
Line: 26258, position 41: вершин
Line: 26275, position 36: вершин
Line: 26290, position 47: вершин
Line: 26298, position 48: вершин
Line: 26379, position 30: вершин
Line: 26382, position 34: вершин
Line: 26402, position 41: вершин
Line: 26440, position 45: вершин
Line: 26441, position 39: вершин
Line: 26443, position 33: вершин
Line: 26459, position 30: вершин
Line: 26459, position 52: вершин
Line: 26460, position 42: вершин
Line: 26476, position 49: вершин
Line: 26766, position 15: строк выравниваются по заданной позиции за счет
Line: 26898, position 12: имеются очереди из кафедр
Line: 26958, position 62: вершин
Line: 27044, position 7: вершин
Line: 27048, position 34: вершин
Line: 27052, position 53: Требуется определить
Line: 27053, position 63: вершин
Line: 27058, position 53: Требуется определить
Line: 27060, position 35: вершин
Line: 27063, position 24: вершин
Line: 27075, position 9: вершин
Line: 27082, position 22: вершин
Line: 27083, position 25: вершин
Line: 27092, position 36: вершин
Line: 27101, position 55: вершин
Line: 27111, position 22: вершин
Line: 27115, position 16: правильность идентификаторов
Line: 27145, position 9: вершин
Line: 27195, position 9: вершин
Line: 27203, position 4: вершин
Line: 27205, position 35: вершин
Line: 27206, position 51: вершин
Line: 27209, position 14: вершин
Line: 27211, position 28: вершин
Line: 27220, position 34: вершин
Line: 27221, position 39: вершин
Line: 27276, position 11: вершин
Line: 27283, position 35: вершин
Line: 27283, position 55: вершин
Line: 27287, position 40: вершин
Line: 27380, position 63: вершин
Line: 27422, position 24: вершин
Line: 27432, position 24: вершин
Line: 27454, position 42: Требуется определить
Line: 27504, position 25: вершин
Line: 27511, position 19: вершин
Line: 27699, position 53: Требуется определить
Line: 28017, position 21: вершин
Line: 28031, position 41: вершин
Line: 28048, position 36: вершин
Line: 28063, position 47: вершин
Line: 28071, position 48: вершин
Line: 28152, position 30: вершин
Line: 28155, position 34: вершин
Line: 28175, position 41: вершин
Line: 28213, position 45: вершин
Line: 28214, position 39: вершин
Line: 28216, position 33: вершин
Line: 28232, position 30: вершин
Line: 28232, position 52: вершин
Line: 28233, position 42: вершин
Line: 28249, position 49: вершин
Line: 28539, position 15: строк выравниваются по заданной позиции за счет
Line: 28671, position 12: имеются очереди из кафедр
Line: 28731, position 62: вершин
Line: 28817, position 7: вершин
Line: 28821, position 34: вершин
Line: 28825, position 53: Требуется определить
Line: 28826, position 63: вершин
Line: 28831, position 53: Требуется определить
Line: 28833, position 35: вершин
Line: 28836, position 24: вершин
Line: 28848, position 9: вершин
Line: 28855, position 22: вершин
Line: 28856, position 25: вершин
Line: 28865, position 36: вершин
Line: 28874, position 55: вершин
Line: 28884, position 22: вершин
Line: 28888, position 16: правильность идентификаторов
Line: 28918, position 9: вершин
Line: 28968, position 9: вершин
Line: 28976, position 4: вершин
Line: 28978, position 35: вершин
Line: 28979, position 51: вершин
Line: 28982, position 14: вершин
Line: 28984, position 28: вершин
Line: 28993, position 34: вершин
Line: 28994, position 39: вершин
Line: 29049, position 11: вершин
Line: 29056, position 35: вершин
Line: 29056, position 55: вершин
Line: 29060, position 40: вершин
Line: 29153, position 63: вершин
Line: 29195, position 24: вершин
Line: 29205, position 24: вершин
Line: 29227, position 42: Требуется определить
Line: 29277, position 25: вершин
Line: 29284, position 19: вершин
Line: 29472, position 53: Требуется определить
Line: 29790, position 21: вершин
Line: 29804, position 41: вершин
Line: 29821, position 36: вершин
Line: 29836, position 47: вершин
Line: 29844, position 48: вершин
Line: 29925, position 30: вершин
Line: 29928, position 34: вершин
Line: 29948, position 41: вершин
Line: 29986, position 45: вершин
Line: 29987, position 39: вершин
Line: 29989, position 33: вершин
Line: 30005, position 30: вершин
Line: 30005, position 52: вершин
Line: 30006, position 42: вершин
Line: 30022, position 49: вершин
Line: 30312, position 15: строк выравниваются по заданной позиции за счет
Line: 30444, position 12: имеются очереди из кафедр
Line: 30504, position 62: вершин
